area,perimeter,compactness
-4733.253333,-1673.956667,-104.0631
-4733.703333,-1674.116667,-104.07305
-4734.153333,-1674.276667,-104.083
-4734.603333,-1674.436667,-104.09295
-4735.053333,-1674.596667,-104.1029
-4735.503333,-1674.756667,-104.11285
-4735.953333,-1674.916667,-104.1228
-4736.403333,-1675.076667,-104.13275
-4736.853333,-1675.236667,-104.1427
-4737.303333,-1675.396667,-104.15265
-4737.753333,-1675.556667,-104.1626
-4738.203333,-1675.716667,-104.17255
-4738.653333,-1675.876667,-104.1825
-4739.103333,-1676.036667,-104.19245
-4739.553333,-1676.196667,-104.2024
-4740.003333,-1676.356667,-104.21235
-4740.453333,-1676.516667,-104.2223
-4740.903333,-1676.676667,-104.23225
-4741.353333,-1676.836667,-104.2422
-4741.803333,-1676.996667,-104.25215
-4742.253333,-1677.156667,-104.2621
-4742.703333,-1677.316667,-104.27205
-4743.153333,-1677.476667,-104.282
-4743.603333,-1677.636667,-104.29195
-4744.053333,-1677.796667,-104.3019
-4744.503333,-1677.956667,-104.31185
-4744.953333,-1678.116667,-104.3218
-4745.403333,-1678.276667,-104.33175
-4745.853333,-1678.436667,-104.3417
-4746.303333,-1678.596667,-104.35165
-4746.753333,-1678.756667,-104.3616
-4747.203333,-1678.916667,-104.37155
-4747.653333,-1679.076667,-104.3815
-4748.103333,-1679.236667,-104.39145
-4748.553333,-1679.396667,-104.4014
-4749.003333,-1679.556667,-104.41135
-4749.453333,-1679.716667,-104.4213
-4749.903333,-1679.876667,-104.43125
-4750.353333,-1680.036667,-104.4412
-4750.803333,-1680.196667,-104.45115
-4751.253333,-1680.356667,-104.4611
-4751.703333,-1680.516667,-104.47105
-4752.153333,-1680.676667,-104.481
-4752.603333,-1680.836667,-104.49095
-4753.053333,-1680.996667,-104.5009
-4753.503333,-1681.156667,-104.51085
-4753.953333,-1681.316667,-104.5208
-4754.403333,-1681.476667,-104.53075
-4754.853333,-1681.636667,-104.5407
-4755.303333,-1681.796667,-104.55065
-4755.753333,-1681.956667,-104.5606
-4756.203333,-1682.116667,-104.57055
-4756.653333,-1682.276667,-104.5805
-4757.103333,-1682.436667,-104.59045
-4757.553333,-1682.596667,-104.6004
-4758.003333,-1682.756667,-104.61035
-4758.453333,-1682.916667,-104.6203
-4758.903333,-1683.076667,-104.63025
-4759.353333,-1683.236667,-104.6402
-4759.803333,-1683.396667,-104.65015
-4760.253333,-1683.556667,-104.6601
-4760.703333,-1683.716667,-104.67005
-4761.153333,-1683.876667,-104.68
-4761.603333,-1684.036667,-104.68995
-4762.053333,-1684.196667,-104.6999
-4762.503333,-1684.356667,-104.70985
-4762.953333,-1684.516667,-104.7198
-4763.403333,-1684.676667,-104.72975
-4763.853333,-1684.836667,-104.7397
-4764.303333,-1684.996667,-104.74965
-4764.753333,-1685.156667,-104.7596
-4765.203333,-1685.316667,-104.76955
-4765.653333,-1685.476667,-104.7795
-4766.103333,-1685.636667,-104.78945
-4766.553333,-1685.796667,-104.7994
-4767.003333,-1685.956667,-104.80935
-4767.453333,-1686.116667,-104.8193
-4767.903333,-1686.276667,-104.82925
-4768.353333,-1686.436667,-104.8392
-4768.803333,-1686.596667,-104.84915
-4769.253333,-1686.756667,-104.8591
-4769.703333,-1686.916667,-104.86905
-4770.153333,-1687.076667,-104.879
-4770.603333,-1687.236667,-104.88895
-4771.053333,-1687.396667,-104.8989
-4771.503333,-1687.556667,-104.90885
-4771.953333,-1687.716667,-104.9188
-4772.403333,-1687.876667,-104.92875
-4772.853333,-1688.036667,-104.9387
-4773.303333,-1688.196667,-104.94865
-4773.753333,-1688.356667,-104.9586
-4774.203333,-1688.516667,-104.96855
-4774.653333,-1688.676667,-104.9785
-4775.103333,-1688.836667,-104.98845
-4775.553333,-1688.996667,-104.9984
-4776.003333,-1689.156667,-105.00835
-4776.453333,-1689.316667,-105.0183
-4776.903333,-1689.476667,-105.02825
-4777.353333,-1689.636667,-105.0382
-4777.803333,-1689.796667,-105.04815
-4778.253333,-1689.956667,-105.0581
-4778.703333,-1690.116667,-105.06805
-4779.153333,-1690.276667,-105.078
-4779.603333,-1690.436667,-105.08795
-4780.053333,-1690.596667,-105.0979
-4780.503333,-1690.756667,-105.10785
-4780.953333,-1690.916667,-105.1178
-4781.403333,-1691.076667,-105.12775
-4781.853333,-1691.236667,-105.1377
-4782.303333,-1691.396667,-105.14765
-4782.753333,-1691.556667,-105.1576
-4783.203333,-1691.716667,-105.16755
-4783.653333,-1691.876667,-105.1775
-4784.103333,-1692.036667,-105.18745
-4784.553333,-1692.196667,-105.1974
-4785.003333,-1692.356667,-105.20735
-4785.453333,-1692.516667,-105.2173
-4785.903333,-1692.676667,-105.22725
-4786.353333,-1692.836667,-105.2372
-4786.803333,-1692.996667,-105.24715
-4787.253333,-1693.156667,-105.2571
-4787.703333,-1693.316667,-105.26705
-4788.153333,-1693.476667,-105.277
-4788.603333,-1693.636667,-105.28695
-4789.053333,-1693.796667,-105.2969
-4789.503333,-1693.956667,-105.30685
-4789.953333,-1694.116667,-105.3168
-4790.403333,-1694.276667,-105.32675
-4790.853333,-1694.436667,-105.3367
-4791.303333,-1694.596667,-105.34665
-4791.753333,-1694.756667,-105.3566
-4792.203333,-1694.916667,-105.36655
-4792.653333,-1695.076667,-105.3765
-4793.103333,-1695.236667,-105.38645
-4793.553333,-1695.396667,-105.3964
-4794.003333,-1695.556667,-105.40635
-4794.453333,-1695.716667,-105.4163
-4794.903333,-1695.876667,-105.42625
-4795.353333,-1696.036667,-105.4362
-4795.803333,-1696.196667,-105.44615
-4796.253333,-1696.356667,-105.4561
-4796.703333,-1696.516667,-105.46605
-4797.153333,-1696.676667,-105.476
-4797.603333,-1696.836667,-105.48595
-4798.053333,-1696.996667,-105.4959
-4798.503333,-1697.156667,-105.50585
-4798.953333,-1697.316667,-105.5158
-4799.403333,-1697.476667,-105.52575
-4799.853333,-1697.636667,-105.5357
-4800.303333,-1697.796667,-105.54565
-4800.753333,-1697.956667,-105.5556
-4801.203333,-1698.116667,-105.56555
-4801.653333,-1698.276667,-105.5755
-4802.103333,-1698.436667,-105.58545
-4802.553333,-1698.596667,-105.5954
-4803.003333,-1698.756667,-105.60535
-4803.453333,-1698.916667,-105.6153
-4803.903333,-1699.076667,-105.62525
-4804.353333,-1699.236667,-105.6352
-4804.803333,-1699.396667,-105.64515
-4805.253333,-1699.556667,-105.6551
-4805.703333,-1699.716667,-105.66505
-4806.153333,-1699.876667,-105.675
-4806.603333,-1700.036667,-105.68495
-4807.053333,-1700.196667,-105.6949
-4807.503333,-1700.356667,-105.70485
-4807.953333,-1700.516667,-105.7148
-4808.403333,-1700.676667,-105.72475
-4808.853333,-1700.836667,-105.7347
-4809.303333,-1700.996667,-105.74465
-4809.753333,-1701.156667,-105.7546
-4810.203333,-1701.316667,-105.76455
-4810.653333,-1701.476667,-105.7745
-4811.103333,-1701.636667,-105.78445
-4811.553333,-1701.796667,-105.7944
-4812.003333,-1701.956667,-105.80435
-4812.453333,-1702.116667,-105.8143
-4812.903333,-1702.276667,-105.82425
-4813.353333,-1702.436667,-105.8342
-4813.803333,-1702.596667,-105.84415
-4814.253333,-1702.756667,-105.8541
-4814.703333,-1702.916667,-105.86405
-4815.153333,-1703.076667,-105.874
-4815.603333,-1703.236667,-105.88395
-4816.053333,-1703.396667,-105.8939
-4816.503333,-1703.556667,-105.90385
-4816.953333,-1703.716667,-105.9138
-4817.403333,-1703.876667,-105.92375
-4817.853333,-1704.036667,-105.9337
-4818.303333,-1704.196667,-105.94365
-4818.753333,-1704.356667,-105.9536
-4819.203333,-1704.516667,-105.96355
-4819.653333,-1704.676667,-105.9735
-4820.103333,-1704.836667,-105.98345
-4820.553333,-1704.996667,-105.9934
-4821.003333,-1705.156667,-106.00335
-4821.453333,-1705.316667,-106.0133
-4821.903333,-1705.476667,-106.02325
-4822.353333,-1705.636667,-106.0332
-4822.803333,-1705.796667,-106.04315
-4823.253333,-1705.956667,-106.0531
-4823.703333,-1706.116667,-106.06305
-4824.153333,-1706.276667,-106.073
-4824.603333,-1706.436667,-106.08295
-4825.053333,-1706.596667,-106.0929
-4825.503333,-1706.756667,-106.10285
-4825.953333,-1706.916667,-106.1128
-4826.403333,-1707.076667,-106.12275
-4826.853333,-1707.236667,-106.1327
-4827.303333,-1707.396667,-106.14265
-4827.753333,-1707.556667,-106.1526
-4828.203333,-1707.716667,-106.16255
-4828.653333,-1707.876667,-106.1725
-4829.103333,-1708.036667,-106.18245
-4829.553333,-1708.196667,-106.1924
-4830.003333,-1708.356667,-106.20235
-4830.453333,-1708.516667,-106.2123
-4830.903333,-1708.676667,-106.22225
-4831.353333,-1708.836667,-106.2322
-4831.803333,-1708.996667,-106.24215
-4832.253333,-1709.156667,-106.2521
-4832.703333,-1709.316667,-106.26205
-4833.153333,-1709.476667,-106.272
-4833.603333,-1709.636667,-106.28195
-4834.053333,-1709.796667,-106.2919
-4834.503333,-1709.956667,-106.30185
-4834.953333,-1710.116667,-106.3118
-4835.403333,-1710.276667,-106.32175
-4835.853333,-1710.436667,-106.3317
-4836.303333,-1710.596667,-106.34165
-4836.753333,-1710.756667,-106.3516
-4837.203333,-1710.916667,-106.36155
-4837.653333,-1711.076667,-106.3715
-4838.103333,-1711.236667,-106.38145
-4838.553333,-1711.396667,-106.3914
-4839.003333,-1711.556667,-106.40135
-4839.453333,-1711.716667,-106.4113
-4839.903333,-1711.876667,-106.42125
-4840.353333,-1712.036667,-106.4312
-4840.803333,-1712.196667,-106.44115
-4841.253333,-1712.356667,-106.4511
-4841.703333,-1712.516667,-106.46105
-4842.153333,-1712.676667,-106.471
-4842.603333,-1712.836667,-106.48095
-4843.053333,-1712.996667,-106.4909
-4843.503333,-1713.156667,-106.50085
-4843.953333,-1713.316667,-106.5108
-4844.403333,-1713.476667,-106.52075
-4844.853333,-1713.636667,-106.5307
-4845.303333,-1713.796667,-106.54065
-4845.753333,-1713.956667,-106.5506
-4846.203333,-1714.116667,-106.56055
-4846.653333,-1714.276667,-106.5705
-4847.103333,-1714.436667,-106.58045
-4847.553333,-1714.596667,-106.5904
-4848.003333,-1714.756667,-106.60035
-4848.453333,-1714.916667,-106.6103
-4848.903333,-1715.076667,-106.62025
-4849.353333,-1715.236667,-106.6302
-4849.803333,-1715.396667,-106.64015
-4850.253333,-1715.556667,-106.6501
-4850.703333,-1715.716667,-106.66005
-4851.153333,-1715.876667,-106.67
-4851.603333,-1716.036667,-106.67995
-4852.053333,-1716.196667,-106.6899
-4852.503333,-1716.356667,-106.69985
-4852.953333,-1716.516667,-106.7098
-4853.403333,-1716.676667,-106.71975
-4853.853333,-1716.836667,-106.7297
-4854.303333,-1716.996667,-106.73965
-4854.753333,-1717.156667,-106.7496
-4855.203333,-1717.316667,-106.75955
-4855.653333,-1717.476667,-106.7695
-4856.103333,-1717.636667,-106.77945
-4856.553333,-1717.796667,-106.7894
-4857.003333,-1717.956667,-106.79935
-4857.453333,-1718.116667,-106.8093
-4857.903333,-1718.276667,-106.81925
-4858.353333,-1718.436667,-106.8292
-4858.803333,-1718.596667,-106.83915
-4859.253333,-1718.756667,-106.8491
-4859.703333,-1718.916667,-106.85905
-4860.153333,-1719.076667,-106.869
-4860.603333,-1719.236667,-106.87895
-4861.053333,-1719.396667,-106.8889
-4861.503333,-1719.556667,-106.89885
-4861.953333,-1719.716667,-106.9088
-4862.403333,-1719.876667,-106.91875
-4862.853333,-1720.036667,-106.9287
-4863.303333,-1720.196667,-106.93865
-4863.753333,-1720.356667,-106.9486
-4864.203333,-1720.516667,-106.95855
-4864.653333,-1720.676667,-106.9685
-4865.103333,-1720.836667,-106.97845
-4865.553333,-1720.996667,-106.9884
-4866.003333,-1721.156667,-106.99835
-4866.453333,-1721.316667,-107.0083
-4866.903333,-1721.476667,-107.01825
-4867.353333,-1721.636667,-107.0282
-4867.803333,-1721.796667,-107.03815
-4868.253333,-1721.956667,-107.0481
-4868.703333,-1722.116667,-107.05805
-4869.153333,-1722.276667,-107.068
-4869.603333,-1722.436667,-107.07795
-4870.053333,-1722.596667,-107.0879
-4870.503333,-1722.756667,-107.09785
-4870.953333,-1722.916667,-107.1078
-4871.403333,-1723.076667,-107.11775
-4871.853333,-1723.236667,-107.1277
-4872.303333,-1723.396667,-107.13765
-4872.753333,-1723.556667,-107.1476
-4873.203333,-1723.716667,-107.15755
-4873.653333,-1723.876667,-107.1675
-4874.103333,-1724.036667,-107.17745
-4874.553333,-1724.196667,-107.1874
-4875.003333,-1724.356667,-107.19735
-4875.453333,-1724.516667,-107.2073
-4875.903333,-1724.676667,-107.21725
-4876.353333,-1724.836667,-107.2272
-4876.803333,-1724.996667,-107.23715
-4877.253333,-1725.156667,-107.2471
-4877.703333,-1725.316667,-107.25705
-4878.153333,-1725.476667,-107.267
-4878.603333,-1725.636667,-107.27695
-4879.053333,-1725.796667,-107.2869
-4879.503333,-1725.956667,-107.29685
-4879.953333,-1726.116667,-107.3068
-4880.403333,-1726.276667,-107.31675
-4880.853333,-1726.436667,-107.3267
-4881.303333,-1726.596667,-107.33665
-4881.753333,-1726.756667,-107.3466
-4882.203333,-1726.916667,-107.35655
-4882.653333,-1727.076667,-107.3665
-4883.103333,-1727.236667,-107.37645
-4883.553333,-1727.396667,-107.3864
-4884.003333,-1727.556667,-107.39635
-4884.453333,-1727.716667,-107.4063
-4884.903333,-1727.876667,-107.41625
-4885.353333,-1728.036667,-107.4262
-4885.803333,-1728.196667,-107.43615
-4886.253333,-1728.356667,-107.4461
-4886.703333,-1728.516667,-107.45605
-4887.153333,-1728.676667,-107.466
-4887.603333,-1728.836667,-107.47595
-4888.053333,-1728.996667,-107.4859
-4888.503333,-1729.156667,-107.49585
-4888.953333,-1729.316667,-107.5058
-4889.403333,-1729.476667,-107.51575
-4889.853333,-1729.636667,-107.5257
-4890.303333,-1729.796667,-107.53565
-4890.753333,-1729.956667,-107.5456
-4891.203333,-1730.116667,-107.55555
-4891.653333,-1730.276667,-107.5655
-4892.103333,-1730.436667,-107.57545
-4892.553333,-1730.596667,-107.5854
-4893.003333,-1730.756667,-107.59535
-4893.453333,-1730.916667,-107.6053
-4893.903333,-1731.076667,-107.61525
-4894.353333,-1731.236667,-107.6252
-4894.803333,-1731.396667,-107.63515
-4895.253333,-1731.556667,-107.6451
-4895.703333,-1731.716667,-107.65505
-4896.153333,-1731.876667,-107.665
-4896.603333,-1732.036667,-107.67495
-4897.053333,-1732.196667,-107.6849
-4897.503333,-1732.356667,-107.69485
-4897.953333,-1732.516667,-107.7048
-4898.403333,-1732.676667,-107.71475
-4898.853333,-1732.836667,-107.7247
-4899.303333,-1732.996667,-107.73465
-4899.753333,-1733.156667,-107.7446
-4900.203333,-1733.316667,-107.75455
-4900.653333,-1733.476667,-107.7645
-4901.103333,-1733.636667,-107.77445
-4901.553333,-1733.796667,-107.7844
-4902.003333,-1733.956667,-107.79435
-4902.453333,-1734.116667,-107.8043
-4902.903333,-1734.276667,-107.81425
-4903.353333,-1734.436667,-107.8242
-4903.803333,-1734.596667,-107.83415
-4904.253333,-1734.756667,-107.8441
-4904.703333,-1734.916667,-107.85405
-4905.153333,-1735.076667,-107.864
-4905.603333,-1735.236667,-107.87395
-4906.053333,-1735.396667,-107.8839
-4906.503333,-1735.556667,-107.89385
-4906.953333,-1735.716667,-107.9038
-4907.403333,-1735.876667,-107.91375
-4907.853333,-1736.036667,-107.9237
-4908.303333,-1736.196667,-107.93365
-4908.753333,-1736.356667,-107.9436
-4909.203333,-1736.516667,-107.95355
-4909.653333,-1736.676667,-107.9635
-4910.103333,-1736.836667,-107.97345
-4910.553333,-1736.996667,-107.9834
-4911.003333,-1737.156667,-107.99335
-4911.453333,-1737.316667,-108.0033
-4911.903333,-1737.476667,-108.01325
-4912.353333,-1737.636667,-108.0232
-4912.803333,-1737.796667,-108.03315
-4913.253333,-1737.956667,-108.0431
-4913.703333,-1738.116667,-108.05305
-4914.153333,-1738.276667,-108.063
-4914.603333,-1738.436667,-108.07295
-4915.053333,-1738.596667,-108.0829
-4915.503333,-1738.756667,-108.09285
-4915.953333,-1738.916667,-108.1028
-4916.403333,-1739.076667,-108.11275
-4916.853333,-1739.236667,-108.1227
-4917.303333,-1739.396667,-108.13265
-4917.753333,-1739.556667,-108.1426
-4918.203333,-1739.716667,-108.15255
-4918.653333,-1739.876667,-108.1625
-4919.103333,-1740.036667,-108.17245
-4919.553333,-1740.196667,-108.1824
-4920.003333,-1740.356667,-108.19235
-4920.453333,-1740.516667,-108.2023
-4920.903333,-1740.676667,-108.21225
-4921.353333,-1740.836667,-108.2222
-4921.803333,-1740.996667,-108.23215
-4922.253333,-1741.156667,-108.2421
-4922.703333,-1741.316667,-108.25205
-4923.153333,-1741.476667,-108.262
-4923.603333,-1741.636667,-108.27195
-4924.053333,-1741.796667,-108.2819
-4924.503333,-1741.956667,-108.29185
-4924.953333,-1742.116667,-108.3018
-4925.403333,-1742.276667,-108.31175
-4925.853333,-1742.436667,-108.3217
-4926.303333,-1742.596667,-108.33165
-4926.753333,-1742.756667,-108.3416
-4927.203333,-1742.916667,-108.35155
-4927.653333,-1743.076667,-108.3615
-4928.103333,-1743.236667,-108.37145
-4928.553333,-1743.396667,-108.3814
-4929.003333,-1743.556667,-108.39135
-4929.453333,-1743.716667,-108.4013
-4929.903333,-1743.876667,-108.41125
-4930.353333,-1744.036667,-108.4212
-4930.803333,-1744.196667,-108.43115
-4931.253333,-1744.356667,-108.4411
-4931.703333,-1744.516667,-108.45105
-4932.153333,-1744.676667,-108.461
-4932.603333,-1744.836667,-108.47095
-4933.053333,-1744.996667,-108.4809
-4933.503333,-1745.156667,-108.49085
-4933.953333,-1745.316667,-108.5008
-4934.403333,-1745.476667,-108.51075
-4934.853333,-1745.636667,-108.5207
-4935.303333,-1745.796667,-108.53065
-4935.753333,-1745.956667,-108.5406
-4936.203333,-1746.116667,-108.55055
-4936.653333,-1746.276667,-108.5605
-4937.103333,-1746.436667,-108.57045
-4937.553333,-1746.596667,-108.5804
-4938.003333,-1746.756667,-108.59035
-4938.453333,-1746.916667,-108.6003
-4938.903333,-1747.076667,-108.61025
-4939.353333,-1747.236667,-108.6202
-4939.803333,-1747.396667,-108.63015
-4940.253333,-1747.556667,-108.6401
-4940.703333,-1747.716667,-108.65005
-4941.153333,-1747.876667,-108.66
-4941.603333,-1748.036667,-108.66995
-4942.053333,-1748.196667,-108.6799
-4942.503333,-1748.356667,-108.68985
-4942.953333,-1748.516667,-108.6998
-4943.403333,-1748.676667,-108.70975
-4943.853333,-1748.836667,-108.7197
-4944.303333,-1748.996667,-108.72965
-4944.753333,-1749.156667,-108.7396
-4945.203333,-1749.316667,-108.74955
-4945.653333,-1749.476667,-108.7595
-4946.103333,-1749.636667,-108.76945
-4946.553333,-1749.796667,-108.7794
-4947.003333,-1749.956667,-108.78935
-4947.453333,-1750.116667,-108.7993
-4947.903333,-1750.276667,-108.80925
-4948.353333,-1750.436667,-108.8192
-4948.803333,-1750.596667,-108.82915
-4949.253333,-1750.756667,-108.8391
-4949.703333,-1750.916667,-108.84905
-4950.153333,-1751.076667,-108.859
-4950.603333,-1751.236667,-108.86895
-4951.053333,-1751.396667,-108.8789
-4951.503333,-1751.556667,-108.88885
-4951.953333,-1751.716667,-108.8988
-4952.403333,-1751.876667,-108.90875
-4952.853333,-1752.036667,-108.9187
-4953.303333,-1752.196667,-108.92865
-4953.753333,-1752.356667,-108.9386
-4954.203333,-1752.516667,-108.94855
-4954.653333,-1752.676667,-108.9585
-4955.103333,-1752.836667,-108.96845
-4955.553333,-1752.996667,-108.9784
-4956.003333,-1753.156667,-108.98835
-4956.453333,-1753.316667,-108.9983
-4956.903333,-1753.476667,-109.00825
-4957.353333,-1753.636667,-109.0182
-4957.803333,-1753.796667,-109.02815
-4958.253333,-1753.956667,-109.0381
-4958.703333,-1754.116667,-109.04805
-4959.153333,-1754.276667,-109.058
-4959.603333,-1754.436667,-109.06795
-4960.053333,-1754.596667,-109.0779
-4960.503333,-1754.756667,-109.08785
-4960.953333,-1754.916667,-109.0978
-4961.403333,-1755.076667,-109.10775
-4961.853333,-1755.236667,-109.1177
-4962.303333,-1755.396667,-109.12765
-4962.753333,-1755.556667,-109.1376
-4963.203333,-1755.716667,-109.14755
-4963.653333,-1755.876667,-109.1575
-4964.103333,-1756.036667,-109.16745
-4964.553333,-1756.196667,-109.1774
-4965.003333,-1756.356667,-109.18735
-4965.453333,-1756.516667,-109.1973
-4965.903333,-1756.676667,-109.20725
-4966.353333,-1756.836667,-109.2172
-4966.803333,-1756.996667,-109.22715
-4967.253333,-1757.156667,-109.2371
-4967.703333,-1757.316667,-109.24705
-4968.153333,-1757.476667,-109.257
-4968.603333,-1757.636667,-109.26695
-4969.053333,-1757.796667,-109.2769
-4969.503333,-1757.956667,-109.28685
-4969.953333,-1758.116667,-109.2968
-4970.403333,-1758.276667,-109.30675
-4970.853333,-1758.436667,-109.3167
-4971.303333,-1758.596667,-109.32665
-4971.753333,-1758.756667,-109.3366
-4972.203333,-1758.916667,-109.34655
-4972.653333,-1759.076667,-109.3565
-4973.103333,-1759.236667,-109.36645
-4973.553333,-1759.396667,-109.3764
-4974.003333,-1759.556667,-109.38635
-4974.453333,-1759.716667,-109.3963
-4974.903333,-1759.876667,-109.40625
-4975.353333,-1760.036667,-109.4162
-4975.803333,-1760.196667,-109.42615
-4976.253333,-1760.356667,-109.4361
-4976.703333,-1760.516667,-109.44605
-4977.153333,-1760.676667,-109.456
-4977.603333,-1760.836667,-109.46595
-4978.053333,-1760.996667,-109.4759
-4978.503333,-1761.156667,-109.48585
-4978.953333,-1761.316667,-109.4958
-4979.403333,-1761.476667,-109.50575
-4979.853333,-1761.636667,-109.5157
-4980.303333,-1761.796667,-109.52565
-4980.753333,-1761.956667,-109.5356
-4981.203333,-1762.116667,-109.54555
-4981.653333,-1762.276667,-109.5555
-4982.103333,-1762.436667,-109.56545
-4982.553333,-1762.596667,-109.5754
-4983.003333,-1762.756667,-109.58535
-4983.453333,-1762.916667,-109.5953
-4983.903333,-1763.076667,-109.60525
-4984.353333,-1763.236667,-109.6152
-4984.803333,-1763.396667,-109.62515
-4985.253333,-1763.556667,-109.6351
-4985.703333,-1763.716667,-109.64505
-4986.153333,-1763.876667,-109.655
-4986.603333,-1764.036667,-109.66495
-4987.053333,-1764.196667,-109.6749
-4987.503333,-1764.356667,-109.68485
-4987.953333,-1764.516667,-109.6948
-4988.403333,-1764.676667,-109.70475
-4988.853333,-1764.836667,-109.7147
-4989.303333,-1764.996667,-109.72465
-4989.753333,-1765.156667,-109.7346
-4990.203333,-1765.316667,-109.74455
-4990.653333,-1765.476667,-109.7545
-4991.103333,-1765.636667,-109.76445
-4991.553333,-1765.796667,-109.7744
-4992.003333,-1765.956667,-109.78435
-4992.453333,-1766.116667,-109.7943
-4992.903333,-1766.276667,-109.80425
-4993.353333,-1766.436667,-109.8142
-4993.803333,-1766.596667,-109.82415
-4994.253333,-1766.756667,-109.8341
-4994.703333,-1766.916667,-109.84405
-4995.153333,-1767.076667,-109.854
-4995.603333,-1767.236667,-109.86395
-4996.053333,-1767.396667,-109.8739
-4996.503333,-1767.556667,-109.88385
-4996.953333,-1767.716667,-109.8938
-4997.403333,-1767.876667,-109.90375
-4997.853333,-1768.036667,-109.9137
-4998.303333,-1768.196667,-109.92365
-4998.753333,-1768.356667,-109.9336
-4999.203333,-1768.516667,-109.94355
-4999.653333,-1768.676667,-109.9535
-5000.103333,-1768.836667,-109.96345
-5000.553333,-1768.996667,-109.9734
-5001.003333,-1769.156667,-109.98335
-5001.453333,-1769.316667,-109.9933
-5001.903333,-1769.476667,-110.00325
-5002.353333,-1769.636667,-110.0132
-5002.803333,-1769.796667,-110.02315
-5003.253333,-1769.956667,-110.0331
-5003.703333,-1770.116667,-110.04305
-5004.153333,-1770.276667,-110.053
-5004.603333,-1770.436667,-110.06295
-5005.053333,-1770.596667,-110.0729
-5005.503333,-1770.756667,-110.08285
-5005.953333,-1770.916667,-110.0928
-5006.403333,-1771.076667,-110.10275
-5006.853333,-1771.236667,-110.1127
-5007.303333,-1771.396667,-110.12265
-5007.753333,-1771.556667,-110.1326
-5008.203333,-1771.716667,-110.14255
-5008.653333,-1771.876667,-110.1525
-5009.103333,-1772.036667,-110.16245
-5009.553333,-1772.196667,-110.1724
-5010.003333,-1772.356667,-110.18235
-5010.453333,-1772.516667,-110.1923
-5010.903333,-1772.676667,-110.20225
-5011.353333,-1772.836667,-110.2122
-5011.803333,-1772.996667,-110.22215
-5012.253333,-1773.156667,-110.2321
-5012.703333,-1773.316667,-110.24205
-5013.153333,-1773.476667,-110.252
-5013.603333,-1773.636667,-110.26195
-5014.053333,-1773.796667,-110.2719
-5014.503333,-1773.956667,-110.28185
-5014.953333,-1774.116667,-110.2918
-5015.403333,-1774.276667,-110.30175
-5015.853333,-1774.436667,-110.3117
-5016.303333,-1774.596667,-110.32165
-5016.753333,-1774.756667,-110.3316
-5017.203333,-1774.916667,-110.34155
-5017.653333,-1775.076667,-110.3515
-5018.103333,-1775.236667,-110.36145
-5018.553333,-1775.396667,-110.3714
-5019.003333,-1775.556667,-110.38135
-5019.453333,-1775.716667,-110.3913
-5019.903333,-1775.876667,-110.40125
-5020.353333,-1776.036667,-110.4112
-5020.803333,-1776.196667,-110.42115
-5021.253333,-1776.356667,-110.4311
-5021.703333,-1776.516667,-110.44105
-5022.153333,-1776.676667,-110.451
-5022.603333,-1776.836667,-110.46095
-5023.053333,-1776.996667,-110.4709
-5023.503333,-1777.156667,-110.48085
-5023.953333,-1777.316667,-110.4908
-5024.403333,-1777.476667,-110.50075
-5024.853333,-1777.636667,-110.5107
-5025.303333,-1777.796667,-110.52065
-5025.753333,-1777.956667,-110.5306
-5026.203333,-1778.116667,-110.54055
-5026.653333,-1778.276667,-110.5505
-5027.103333,-1778.436667,-110.56045
-5027.553333,-1778.596667,-110.5704
-5028.003333,-1778.756667,-110.58035
-5028.453333,-1778.916667,-110.5903
-5028.903333,-1779.076667,-110.60025
-5029.353333,-1779.236667,-110.6102
-5029.803333,-1779.396667,-110.62015
-5030.253333,-1779.556667,-110.6301
-5030.703333,-1779.716667,-110.64005
-5031.153333,-1779.876667,-110.65
-5031.603333,-1780.036667,-110.65995
-5032.053333,-1780.196667,-110.6699
-5032.503333,-1780.356667,-110.67985
-5032.953333,-1780.516667,-110.6898
-5033.403333,-1780.676667,-110.69975
-5033.853333,-1780.836667,-110.7097
-5034.303333,-1780.996667,-110.71965
-5034.753333,-1781.156667,-110.7296
-5035.203333,-1781.316667,-110.73955
-5035.653333,-1781.476667,-110.7495
-5036.103333,-1781.636667,-110.75945
-5036.553333,-1781.796667,-110.7694
-5037.003333,-1781.956667,-110.77935
-5037.453333,-1782.116667,-110.7893
-5037.903333,-1782.276667,-110.79925
-5038.353333,-1782.436667,-110.8092
-5038.803333,-1782.596667,-110.81915
-5039.253333,-1782.756667,-110.8291
-5039.703333,-1782.916667,-110.83905
-5040.153333,-1783.076667,-110.849
-5040.603333,-1783.236667,-110.85895
-5041.053333,-1783.396667,-110.8689
-5041.503333,-1783.556667,-110.87885
-5041.953333,-1783.716667,-110.8888
-5042.403333,-1783.876667,-110.89875
-5042.853333,-1784.036667,-110.9087
-5043.303333,-1784.196667,-110.91865
-5043.753333,-1784.356667,-110.9286
-5044.203333,-1784.516667,-110.93855
-5044.653333,-1784.676667,-110.9485
-5045.103333,-1784.836667,-110.95845
-5045.553333,-1784.996667,-110.9684
-5046.003333,-1785.156667,-110.97835
-5046.453333,-1785.316667,-110.9883
-5046.903333,-1785.476667,-110.99825
-5047.353333,-1785.636667,-111.0082
-5047.803333,-1785.796667,-111.01815
-5048.253333,-1785.956667,-111.0281
